Samples	Time HFD	NR	Batch	Liver Weight
M47	1M	FALSE	1	3.1
M48	1M	FALSE	NaN	NaN
M49	1M	FALSE	3	2.7
M50	1M	TRUE	NaN	NaN
M51	1M	FALSE	1	2.4
M52	1M	FALSE	NaN	NaN
M53	1M	FALSE	2	1.5
M54	1M	FALSE	NaN	NaN
M55	1M	FALSE	1	1.6
M56	1M	FALSE	NaN	NaN
M57	1M	TRUE	3	1.1
M58	1M	FALSE	NaN	NaN
M59	1M	FALSE	3	1.6
M60	1M	FALSE	NaN	NaN
M61	1M	FALSE	1	1.5
M62	1M	TRUE	NaN	NaN
M63	1M	TRUE	3	1.5
M64	1M	FALSE	NaN	NaN
M65	1M	TRUE	1	1.4
M66	1M	FALSE	NaN	NaN
M103	2M	TRUE	2	1.5
M104	2M	FALSE	NaN	NaN
M105	2M	FALSE	2	2
M106	2M	FALSE	NaN	NaN
M107	2M	FALSE	3	2
M108	2M	FALSE	NaN	NaN
M109	2M	FALSE	3	3
M110	2M	FALSE	NaN	NaN
M111	2M	FALSE	2	1.5
M112	2M	FALSE	NaN	NaN
M113	2M	FALSE	2	2.5
M114	2M	FALSE	NaN	NaN
M115	2M	FALSE	2	2.5
M116	2M	FALSE	NaN	NaN
M117	2M	FALSE	2	2.1
M118	2M	FALSE	NaN	NaN
M119	2M	FALSE	3	3.1
M120	2M	FALSE	NaN	NaN
M121	2M	FALSE	2	1.4
M67	3M	FALSE	3	2.7
M68	3M	FALSE	NaN	NaN
M69	3M	FALSE	1	1.8
M70	3M	FALSE	NaN	NaN
M71	3M	FALSE	2	3.8
M72	3M	FALSE	NaN	NaN
M73	3M	FALSE	2	3.2
M74	3M	FALSE	NaN	NaN
M75	3M	TRUE	2	3.6
M76	3M	FALSE	NaN	NaN
M77	3M	FALSE	2	2.4
M78	3M	FALSE	NaN	NaN
M79	3M	FALSE	NaN	NaN
M80	3M	FALSE	2	3.1
M81	3M	TRUE	NaN	NaN
M82	3M	FALSE	NaN	NaN
M83	3M	FALSE	3	3.5
M84	3M	FALSE	NaN	NaN
M85	3M	FALSE	2	2.6
M86	3M	FALSE	NaN	NaN
M1	6M	FALSE	NaN	NaN
M2	6M	FALSE	3	3.7
M3	6M	FALSE	NaN	NaN
M4	6M	FALSE	2	4.6
M5	6M	FALSE	NaN	NaN
M6	6M	FALSE	1	4.2
M7	6M	FALSE	NaN	NaN
M8	6M	TRUE	1	2.6
M9	6M	FALSE	NaN	NaN
M10	6M	FALSE	NaN	NaN
M11	6M	FALSE	2	3.9
M12	6M	TRUE	NaN	NaN
M13	6M	TRUE	3	2.1
M14	6M	TRUE	NaN	NaN
M15	6M	TRUE	2	2.1
M16	6M	FALSE	NaN	NaN
M17	6M	FALSE	2	3.6
M18	6M	FALSE	NaN	NaN
M19	6M	TRUE	NaN	NaN
M20	6M	FALSE	3	3.4
M21	6M	FALSE	NaN	NaN
M22	6M	FALSE	NaN	3.9
M23	6M	FALSE	NaN	1.8
M24	6M	FALSE	3	4.2
M25	6M	TRUE	NaN	NaN
M26	6M	FALSE	3	2.1
M27	6M	FALSE	NaN	NaN
M28	6M	FALSE	NaN	NaN
M29	6M	FALSE	2	3
M30	6M	FALSE	NaN	NaN
M87	6M	FALSE	3	5.1
M88	6M	FALSE	NaN	NaN
M89	6M	FALSE	NaN	NaN
M90	6M	FALSE	2	4.1
M91	6M	FALSE	NaN	NaN
M92	6M	FALSE	3	3.1
M93	6M	FALSE	NaN	NaN
M94	6M	FALSE	2	3.5
M95	6M	TRUE	NaN	NaN
M96	6M	FALSE	NaN	NaN
M97	6M	FALSE	2	5
M98	6M	TRUE	NaN	NaN
M99	6M	FALSE	2	3.4
M100	6M	FALSE	NaN	NaN
M101	6M	FALSE	2	3.7
M102	6M	FALSE	NaN	NaN
